Country	Region	2001	2002	2003	2004	2005	2006	2007	2008	2009
Mauritius	Africa	2.3	2.5	2.9	2.8	2.9	3.9	3.5	3.7	2.9
South Africa	Africa	47.2	46.8	42.5	39.8	38.8	39.7	37.9	36.8	33.8
Morocco	Africa	1.9	1.6	1.7	1.6	1.5	1.6	1.7	1.4	1.4
Japan	Asia	0.5	0.5	0.6	0.6	0.5	0.5	0.5	0.5	0.4
India	Asia	4	3.9	3.5	3.6	3.5	3.5	3.4	3.4	3.4
Tajikistan	Asia	3.7	2.9	2.6	2.2	2.4	4.3	2.3	1.8	2.1
Armenia	Asia	2.9	2.3	2.2	2.7	1.9	2.6	2.5	2.7	2.7
Republic of Korea	Asia	2.3	2.1	2.1	2.3	2.3	2.3	2.3	2.3	2.9
Hong Kong Special Administrative Region of China	Asia	1	1	0.8	0.7	0.5	0.5	0.3	0.5	0.7
Pakistan	Asia	6.5	6.2	6.1	6.2	6.1	6.2	6.4	7.2	7.3
Philippines	Asia	7.4	8.1	7.8	7.6	7.5	7.1	6.7	6.5	5.4
Thailand	Asia	7.9	7	9.8	6.5	7.2	7	6.5	5.8	5.4
Nepal	Asia	3.4	3.4	2.9	3.5	3.3	2.3	3.1	3.2	2.8
Kazakhstan	Asia	14.5	13.2	13.3	13.9	12.2	11.5	10.8	10.7	10.3
Kyrgyzstan	Asia	7.7	8.2	8.4	8.3	9.7	8.8	8.1	8	7.9
Singapore	Asia	0.8	0.5	0.6	0.5	0.5	0.4	0.4	0.4	0.5
Dominica	Caribbean	1.4	13	11.6	11.6	11.6	7.3	10.2	10.3	19.1
Jamaica	Caribbean	43.7	39.8	36.8	55.2	62.4	49.7	58.4	59.5	61.6
Saint Vincent and the Grenadines	Caribbean	11.1	18.5	16.6	25.8	23.9	11	33	24.7	18.3
Saint Lucia	Caribbean	21.4	26.2	22.2	22.6	24.8	25.7	17.2	22.9	22.6
Cuba	Caribbean	5.4	5.9	5.7	5.9	6.1	5.1	5	4.6	5
Saint Kitts and Nevis	Caribbean	12.8	10.6	20.9	22.7	16.3	34.1	31.7	45	52.2
Dominican Republic	Caribbean	12.5	14.4	21.1	24.5	25.8	22.8	22.1	24.8	24.2
Bahamas	Caribbean	14.3	17	16.1	14	16.3	19.1	23.7	21.6	25.7
Puerto Rico	Caribbean	19.6	20.5	20.7	21	20.4	19.8	19.4	21.5	23.8
Grenada	Caribbean	5.9	13.7	8.8	5.9	10.7	11.6	10.6	13.5	6.7
Antigua and Barbuda	Caribbean	8.8	6.2	6.1	4.8	3.6	12.9	19.8	18.4	18.2
Barbados	Caribbean	9.3	9.3	12.2	8.1	9.2	12.9	9.2	8.5	7
Trinidad and Tobago	Caribbean	11.6	13.1	17.5	19.8	29.3	28.1	29.5	41.1	37.9
Guatemala	Central America	28.1	30.8	35	36.3	42	45.1	43.3	46	46.3
Panama	Central America	10.2	12.4	10.8	9.7	11.2	11.3	13.3	19.2	23.6
Costa Rica	Central America	6.4	6.3	7.2	6.6	7.8	8	8.3	11.3	11.4
El Salvador	Central America	60.2	47.3	55.9	64.6	62.4	64.7	57.3	51.9	70.6
Belize	Central America	24.9	33.1	24.9	28.7	28.8	32.1	33.1	34.4	31.8
Honduras	Central America	55	56	33.6	32	35.1	43	45.6	61.3	70.7
Nicaragua	Central America	10.4	10.6	12	12.1	13.4	13.1	12.8	13.1	14
Lithuania	Europe	10.1	8.5	10	10	10.9	8.5	8.2	8.9	7.5
Switzerland	Europe	1.2	1.2	1	1.1	1	0.8	0.7	0.7	0.7
Slovenia	Europe	1.4	1.8	1.1	1.4	1	0.6	1.2	0.5	0.6
Albania	Europe	6.8	7.5	4.6	3.8	4.2	2.8	3.3	2.9	2.7
France	Europe	1.8	1.9	1.6	1.6	1.6	1.4	1.3	1.4	1.1
Slovakia	Europe	2.4	2.6	2.7	2.3	2	1.6	1.6	1.7	1.5
Norway	Europe	0.8	1	1.1	0.8	0.7	0.7	0.6	0.7	0.6
Ukraine	Europe	10	8.9	8.5	8	7.1	6.9	6.3	5.9	5.4
Finland	Europe	3	2.5	2	2.8	2.3	2.3	2.4	2.5	2.3
Liechtenstein	Europe	0	0	0	2.9	0	0	0	2.8	2.8
Belarus	Europe	9.7	9.9	8.9	8.3	8.4	7.5	6.7	5.6	4.9
Sweden	Europe	0.9	1.1	0.9	1.2	0.9	1	1.2	0.9	1
Bulgaria	Europe	3.9	3.2	3.2	3.1	2.6	2.4	2.3	2.3	2
Romania	Europe	2.7	2.6	2.5	2.4	2.1	2	1.9	2.3	2
Austria	Europe	0.9	0.8	0.6	0.7	0.7	0.7	0.5	0.5	0.5
Hungary	Europe	2.5	2	2.3	2.1	1.6	1.7	1.5	1.5	1.4
Republic of Moldova	Europe	10.1	10.1	8.2	7.2	7.9	7.1	5.9	6.5	6.8
Ireland	Europe	1.3	1.3	1.1	0.7	1.3	1.5	1.8	1.1	1.3
Czech Republic	Europe	2.3	2.3	2.3	2.2	1.8	2.3	1.9	1.9	1.7
Belgium	Europe	2.8	3.1	2.2	2.6	2.1	2.1	2	1.9	1.7
Georgia	Europe	5.6	6.3	6.6	6.2	9	7.3	7.5	6	4.8
Croatia	Europe	1.9	1.8	1.5	1.9	1.5	1.7	1.4	1.6	1.1
Portugal	Europe	1	1.1	1.4	1.4	1.3	1.5	1.7	1.2	1.2
Estonia	Europe	10.1	10.5	10.9	6.7	8.4	6.8	6.9	6.3	5.2
Spain	Europe	1.4	1.4	1.4	1.2	1.2	1.1	1.1	0.9	0.9
Italy	Europe	1.2	1.1	1.2	1.2	1	1.1	1.1	1	1
Serbia	Europe	2.4	2	1.8	1.7	1.5	1.6	1.7	1.4	1.5
Malta	Europe	1.5	1.5	0	1.7	1	0	1	1.4	1
Netherlands	Europe	1.7	1.4	1.5	1.4	1.2	1	1	1.1	1.1
United Kingdom of Great Britain and Northern Ireland	Europe	1.8	2.1	1.8	1.7	1.5	1.5	1.5	1.3	1.2
The former Yugoslav Republic of Macedonia	Europe	2.7	3	3.5	2.8	2.6	2.5	2.1	1.8	1.8
Iceland	Europe	0.4	1.4	0	1	1	0	0.7	0	0.3
Germany	Europe	1.1	1.2	1	1.1	1.1	1	0.9	0.9	0.9
Denmark	Europe	1	1	1.2	0.8	1	0.5	0.7	1	0.9
Poland	Europe	2	1.9	1.7	1.7	1.5	1.3	1.4	1.2	1.3
Latvia	Europe	10.1	9.3	9.2	8.7	5.5	5.6	4.1	4.4	4.8
Greece	Europe	1.3	1	1.1	1	1.2	1	1.1	1.2	1.3
Syrian Arab Republic	Middle East	2.3	2.2	2.3	2.4	2.3	2.4	2.8	2.7	2.4
Israel	Middle East	3.6	3.6	3.2	2.7	2.5	2.8	1.9	2.3	2.1
Canada	North America	1.8	1.9	1.7	2	2.1	1.9	1.8	1.8	1.8
United States of America	North America	4.9	4.9	5	4.8	5	5	4.9	4.6	4.4
Greenland	North America	30.1	21.2	8.8	19.3	17.5	17.5	3.5	10.5	19.2
Bermuda	North America	3.2	4.7	3.1	3.1	4.7	4.7	4.7	7.7	9.3
Mexico	North America	10.2	9.8	9.7	8.9	9.3	9.7	8.1	12.7	17.7
New Zealand	Oceana	1.3	1.5	1.1	1.1	1.5	1.2	1.1	1.2	1.5
Australia	Oceana	1.6	1.6	1.5	1.3	1.3	1.4	1.2	1.2	1.2
Argentina	South America	8.2	9.2	7.6	5.9	5.5	5.3	5.3	5.8	3.4
Venezuela (Bolivarian Republic of)	South America	32.1	38.1	44.1	37.1	37.4	45.2	47.7	52	49
Uruguay	South America	6.6	6.9	5.9	6	5.7	6.1	5.8	6.6	6.8
Colombia	South America	68.9	70.2	56.4	47.7	42.1	40	38.8	35.9	34.6
Suriname	South America	16.7	11.9	12.3	9.3	13.8	12.3	8.8	8.3	4.6
Guyana	South America	10.7	19.2	27.8	17.6	19	21.8	15.3	21	15.5
Paraguay	South America	24.1	24.7	22.6	20.9	15	12.3	14.8	15.1	13.4
